source,listing_id,title,price,currency,year,fuel_type,transmission,creator,sector,mileage,brand,model,door_count,origin,first_owner,fiscal_power,condition,equipment,seller_city,image_folder,url,publication_date
moteur,633035,BMW X1 SDRIVE 18D 150CH BVAB M SPORT,"279,000 MAD",MAD,2021,Diesel,Automatique,N/A,Tetouan,"115,000 km",BMW,X1,5,N/A,N/A,8,N/A,"État du véhicule, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse",Tetouan,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633035/bmw-x1.html,2026-08-13 12:55:06
moteur,633034,Peugeot 208 Diesel Manuelle 2018 à Settat,"107,000 MAD",MAD,2018,Diesel,Manuelle,N/A,Settat,"190,000 km",Peugeot,208,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, Navigation GPS, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Settat,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633034/peugeot-208.html,2026-08-13 12:55:05
moteur,633033,206 HD 1.4,"59,000 MAD",MAD,2005,Diesel,Manuelle,N/A,Autre,"200,090 km",Peugeot,206,5,N/A,N/A,6,N/A,"Airbags, Fermeture centralisée, Navigation GPS, Ordinateur de bord, CD / MP3 / Bluetooth",Autre,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633033/peugeot-206.html,2026-08-13 12:55:05
moteur,633032,ssangyong Tivoli,"125,000 MAD",MAD,2017,Diesel,Manuelle,N/A,Sale,"67,000 km",Ssangyong,Tivoli,N/A,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Sale,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633032/ssangyong-tivoli.html,2026-08-13 12:55:04
moteur,633031,مارينا السعيدية,"60,000 MAD",MAD,2015,Diesel,Manuelle,N/A,Berkane,"1,000 km",Dacia,Logan,3,N/A,N/A,8,N/A,"État du véhicule, Navigation GPS",Berkane,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633031/dacia-logan.html,2026-08-13 12:55:04
moteur,633030,داسياً لودجي,Appeler pour le prix,MAD,2015,Diesel,Manuelle,N/A,Mohammedia,300 km,Dacia,Lodgy,5,N/A,N/A,4,N/A,"État du véhicule, Vitres électriques, Navigation GPS, Jantes",Mohammedia,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633030/dacia-lodgy.html,2026-08-13 12:55:02
moteur,633029,dacia logan,Appeler pour le prix,MAD,2014,Diesel,Manuelle,N/A,Fes,100 km,Dacia,Logan,5,N/A,N/A,6,N/A,État du véhicule,Fes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633029/dacia-logan.html,2026-08-13 12:55:02
moteur,633028,Peugeot 208 0km,"185,000 MAD",MAD,2026,Diesel,Manuelle,N/A,Sale,0 km,Peugeot,208,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Sale,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633028/peugeot-208.html,2026-08-13 12:44:06
moteur,633027,رونو 19 إيصنص للبيع,Appeler pour le prix,MAD,1990,Essence,Manuelle,N/A,Tan-Tan,0 km,Renault,R19,5,N/A,N/A,7,N/A,"État du véhicule, Fermeture centralisée",Tan-Tan,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633027/renault-r19.html,2026-08-13 12:44:06
moteur,633026,ford fiesta daisel 2014,"95,000 MAD",MAD,2014,Diesel,Manuelle,N/A,Casablanca,144 km,Ford,Fiesta,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Vitres électriques, Radar de recul, Jantes, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633026/ford-fiesta.html,2026-08-13 12:44:05
moteur,633025,Citroën C3,"89,000 MAD",MAD,2012,Diesel,Manuelle,N/A,Mohammedia,193 km,Citroën,C3,N/A,N/A,N/A,4,N/A,État du véhicule,Mohammedia,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633025/citroen-c3.html,2026-08-13 12:44:04
moteur,633024,نواصر دروة,"103,000 MAD",MAD,2013,Essence,Manuelle,N/A,Autre,"170,000 km",Alfa Romeo,Giulietta,N/A,N/A,N/A,8,N/A,État du véhicule,Autre,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633024/alfa-romeo-giulietta.html,2026-08-13 12:44:03
moteur,633023,فياط أونو إيصنص موديل 1996,"23,000 MAD",MAD,1996,Essence,Manuelle,N/A,Tan-Tan,0 km,Fiat,Uno,5,N/A,N/A,7,N/A,État du véhicule,Tan-Tan,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633023/fiat-uno.html,2026-08-13 12:44:02
moteur,633022,C3 2017 bi3 wla ropriz lika,"102,000 MAD",MAD,2017,Diesel,Manuelle,N/A,Mohammedia,100 km,Citroën,C3,5,N/A,N/A,6,N/A,"ABS, Climatisation, Airbags, Vitres électriques, ESP",Mohammedia,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633022/citroen-c3.html,2026-08-13 12:44:02
moteur,633021,BMW série 1,"115,000 MAD",MAD,2011,Diesel,Manuelle,N/A,Kenitra,0 km,BMW,Série 1,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Kenitra,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633021/bmw-serie-1.html,2026-08-13 12:44:02
